date|time|description|vendor|amount
2023-07-22|04:07:13 PM|AquaFest Revenue|Seachem|608.73
2024-04-21|11:09:42 AM|Live Demo: Building a Nano Tank|Aquatic Plant Depot|312.01
2023-08-15|04:11:28 AM|Water Conditioner - Prime|Aquashella Expo|-473.39
2025-08-31|12:21:08 AM|Aquarium Expo Ticket Sales|PetSmart|593.54
2025-01-26|03:57:08 AM|Betta Fish (Halfmoon)|PetSmart|-204.25
2024-02-16|05:21:18 PM|Vitamins for Tropical Fish|Tetra|-213.71
2025-08-13|02:36:45 AM|Bumblebee Goby (Pair)|PetSmart|-286.72
2023-07-18|05:49:04 PM|Cryptocoryne Wendtii|Seachem|-154.43
2023-09-17|06:02:00 AM|Live Demo: Building a Nano Tank|PetSmart|1422.89
2024-07-15|08:10:29 PM|Ich-X Treatment|Seachem|-255.67
2025-05-29|12:25:07 AM|Filter Media Change|AquaLuxe Design|-16.03
2023-02-20|10:41:34 AM|AquaFest Revenue|Seachem|505.26
2025-05-31|08:08:59 PM|Filter Media Change|AquaLuxe Design|-240.38
2024-05-06|03:13:27 AM|Moneywort|Tetra|-160.18
2023-02-16|01:31:13 PM|Live Demo: Building a Nano Tank|Seachem|1371.46
2023-06-01|01:09:56 AM|Amazon Sword|Omega One|-385.52
2024-04-24|03:50:29 AM|Filter Replacement Service|Fluval|-481.25
2024-05-30|12:28:45 AM|Dwarf Hairgrass|PetSmart|-159.11
2023-04-30|02:08:22 AM|Planting Techniques Workshop|Aquatic Plant Depot|377.46
2023-10-21|01:58:43 PM|Dwarf Hairgrass|Seachem|-365.34
2025-01-02|06:06:11 PM|Anubias Nana|Omega One|-313.47
2023-08-06|05:49:23 AM|Aquashella Chicago Vendor Payment|AquaWorld Supplies|1038.49
2023-08-19|05:56:59 AM|Pygmy Corydoras Catfish (6 Pack)|AquaWorld Supplies|-251.88
2024-03-04|05:17:38 PM|Filter Replacement Service|FreshFin Aquatics|-286.52
2023-04-01|05:50:19 PM|Betta Revive|PetSmart|-417.41
2024-03-03|10:25:54 PM|Betta Revive|Aquatic Plant Depot|-66.15
2024-09-29|08:40:42 AM|Moneywort|FreshFin Aquatics|-336.95
2023-12-11|02:30:24 PM|Moneywort|Aquashella Expo|-355.93
2023-05-29|01:25:43 PM|Betta Fish (Halfmoon)|Tetra|-402.52
2023-06-04|08:57:44 AM|Intro to Aquascaping Class|AquaWorld Supplies|1406.91
2023-02-07|08:12:21 AM|Dwarf Hairgrass|Aquashella Expo|-461.83
2023-03-01|06:51:59 PM|Tetra Flake Food|PetSmart|-351.64
2024-09-23|01:30:18 AM|Hardscape Design Basics|AquaLuxe Design|119.01
2025-10-09|10:08:42 PM|Filter Replacement Service|PetSmart|-228.61
2024-07-12|07:20:07 PM|Aquashella Orlando Booth Sales|Tetra|590.4
2025-09-22|05:27:40 AM|Aquarium Expo Ticket Sales|AquaLuxe Design|368.24
2024-05-08|01:12:13 PM|Water Wisteria|AquaLuxe Design|-35.34
2025-05-02|10:26:54 AM|Aquashella Dallas Booth Sales|AquaLuxe Design|548.92
2023-12-21|06:51:40 PM|Anubias Nana|Seachem|-65.56
2023-05-27|05:13:50 AM|Live Demo: Building a Nano Tank|Aquatic Plant Depot|438.33
2024-10-08|11:04:08 PM|Opaline Gourami|Tetra|-151.48
2024-10-11|01:05:50 AM|Fish Food - Pellets|PetSmart|-12.15
2025-04-22|01:48:13 PM|AquaFest Revenue|AquaWorld Supplies|1431.72
2023-08-29|01:59:48 PM|Glass Polishing Service|AquaWorld Supplies|-30.17
2023-02-15|10:36:07 PM|Frozen Bloodworms|Seachem|-233.07
2025-05-01|05:02:07 AM|Fish Food - Pellets|AquaWorld Supplies|-443.26
2025-08-22|04:39:40 PM|Fish Food - Pellets|AquaWorld Supplies|-389.92
2023-04-27|03:18:22 PM|Aquarium Salt|PetSmart|-353.55
2024-09-18|12:50:43 PM|Dwarf Hairgrass|Omega One|-211.47
2023-02-21|02:24:38 AM|Pea Puffer Trio|Aquashella Expo|-76.15
2024-08-08|03:54:13 PM|Aquashella Dallas Booth Sales|Omega One|1186.6
2023-12-11|09:54:56 PM|Pump Repair|FreshFin Aquatics|-60.54
2023-06-14|02:32:09 PM|Betta Tank Setup Lesson|Aquashella Expo|976.97
2023-12-08|01:06:37 PM|Filter Media Change|AquaWorld Supplies|-219.66
2024-08-03|06:16:50 AM|AquaFest Revenue|FreshFin Aquatics|708.33
2025-05-26|11:25:54 AM|Aquashella Dallas Booth Sales|Aquashella Expo|1064.12
2023-06-26|03:57:55 PM|Dwarf Hairgrass|Seachem|-76.77
2024-06-29|07:21:06 PM|Water Wisteria|AquaLuxe Design|-488.46
2024-11-25|10:22:34 PM|Electric Blue Cichlid|Tetra|-222.97
2023-06-08|11:28:27 PM|Cryptocoryne Wendtii|PetSmart|-254.81
2024-03-06|10:32:39 AM|Filter Media Change|PetSmart|-268.66
2023-12-09|12:34:44 PM|Aquashella Orlando Booth Sales|Omega One|464.34
2024-02-29|05:15:53 AM|Amazon Sword|Aquashella Expo|-221.89
2023-10-06|03:37:41 PM|Vitamins for Tropical Fish|Aquatic Plant Depot|-116.92
2025-01-11|05:36:49 AM|Betta Revive|Aquashella Expo|-363.82
2023-03-26|08:50:18 AM|Aquarium Expo Ticket Sales|PetSmart|289.6
2024-10-06|09:18:15 AM|Green Spotted Puffer Juvenile|Omega One|-212.71
2025-06-01|12:14:35 PM|Aquarium Setup Consultation|AquaLuxe Design|-491.34
2023-08-19|05:56:59 AM|Pygmy Corydoras Catfish (6 Pack)|AquaWorld Supplies|-251.88
2025-03-08|09:44:59 PM|Betta Tank Setup Lesson|Fluval|585.69
2024-12-17|01:11:24 AM|Planting Techniques Workshop|AquaLuxe Design|684.69
2023-07-01|10:33:53 PM|Ludwigia Repens|FreshFin Aquatics|-72.33
2023-12-12|08:27:23 PM|Aquarium Salt|Fluval|-289.8
2023-02-22|07:41:53 PM|Fish Food - Pellets|Tetra|-125.08
2023-08-24|09:09:37 PM|Live Demo: Building a Nano Tank|Omega One|1230.53
2024-12-15|02:47:01 AM|Algae Wafers|AquaWorld Supplies|-45.14
2023-03-07|06:18:13 PM|Pump Repair|Omega One|-479.27
2023-09-02|08:28:13 AM|Filter Replacement Service|AquaWorld Supplies|-362.44
2023-03-21|04:33:52 AM|Aquashella Dallas Booth Sales|Aquatic Plant Depot|841.67
2024-08-23|10:00:10 AM|Aquashella Dallas Booth Sales|Aquashella Expo|896.18
2024-01-09|03:55:12 AM|Water Wisteria|Aquashella Expo|-218.48
2023-10-26|08:18:08 AM|Pump Repair|Aquashella Expo|-342.96
2025-03-27|05:58:36 AM|Pea Puffer Trio|AquaLuxe Design|-428.18
2024-09-23|01:30:18 AM|Hardscape Design Basics|AquaLuxe Design|119.01
2023-08-04|07:26:46 PM|Betta Revive|Seachem|-272.43
2023-08-04|02:13:11 AM|Aquashella Orlando Booth Sales|Tetra|421.57
2023-02-09|09:04:25 AM|AquaFest Revenue|Fluval|812.24
2025-09-14|06:50:33 AM|Dwarf Hairgrass|Tetra|-31.96
2023-01-05|04:19:02 PM|Aquashella Orlando Booth Sales|Aquashella Expo|50.53
2023-03-27|02:58:25 PM|Aquashella Dallas Booth Sales|Tetra|263.75
2023-02-04|10:29:47 PM|Live Demo: Building a Nano Tank|PetSmart|400.28
2025-02-02|05:21:31 PM|Algae Wafers|Seachem|-312.26
2025-06-26|04:17:21 AM|Water Wisteria|FreshFin Aquatics|-166.39
2023-09-21|03:21:28 PM|Aquashella Dallas Booth Sales|Seachem|1275.29
2025-09-22|07:35:19 AM|Anubias Nana|Fluval|-464.75
2024-06-14|09:35:24 AM|Planting Techniques Workshop|FreshFin Aquatics|392.57
2025-02-13|03:57:36 PM|Water Wisteria|Aquashella Expo|-121.53
2023-12-01|08:45:11 AM|Live Demo: Building a Nano Tank|FreshFin Aquatics|972.12
2024-09-02|03:10:19 AM|Angel Fish|Aquashella Expo|-150.54
2025-01-04|07:49:41 PM|Aquashella Dallas Booth Sales|AquaWorld Supplies|769.3
2024-12-08|04:13:18 PM|Aquashella Dallas Booth Sales|Seachem|1389.47
2024-01-06|08:50:12 AM|Glass Polishing Service|Omega One|-172.66
2024-10-23|10:10:13 AM|Live Demo: Building a Nano Tank|Tetra|786.49
2025-03-07|12:19:28 AM|Aquarium Expo Ticket Sales|PetSmart|1101.06
2023-05-19|12:58:34 PM|Intro to Aquascaping Class|Omega One|1213.51
2024-06-12|07:05:54 AM|Fish Food - Pellets|AquaLuxe Design|-36.84
2023-10-25|06:31:06 PM|Aquarium Expo Ticket Sales|Omega One|529.98
2025-06-04|10:25:18 PM|Angel Fish|Fluval|-492.28
2023-12-15|03:34:38 PM|Filter Replacement Service|Seachem|-204.53
2024-08-06|07:02:22 AM|Aquashella Dallas Booth Sales|PetSmart|272.96
2023-11-16|12:19:09 AM|Ich-X Treatment|Omega One|-92.42
2023-07-13|05:38:31 AM|Cryptocoryne Wendtii|Aquatic Plant Depot|-429.09
2025-07-18|03:05:26 PM|Aquashella Orlando Booth Sales|Tetra|197.6
2024-12-06|12:35:12 PM|Celestial Pearl Danio|Fluval|-171.11
2023-02-09|02:30:51 PM|Dwarf Hairgrass|PetSmart|-281.32
2025-08-20|03:49:49 PM|Pea Puffer Trio|Aquatic Plant Depot|-377.23
2023-01-30|01:43:08 PM|Hornwort|PetSmart|-358.0
2025-03-05|05:09:40 PM|AquaFest Revenue|Aquatic Plant Depot|349.19
2024-07-31|04:26:54 PM|Ludwigia Repens|FreshFin Aquatics|-429.54
2025-02-01|09:12:21 AM|AquaFest Revenue|AquaWorld Supplies|471.87
2023-10-22|10:10:05 AM|Intro to Aquascaping Class|Omega One|1489.26
2024-11-02|03:24:28 PM|Frozen Bloodworms|AquaLuxe Design|-418.86
2023-11-05|04:40:34 PM|Hornwort|Omega One|-393.19
2024-01-01|03:14:31 PM|Intro to Aquascaping Class|AquaLuxe Design|1280.73
2025-02-07|03:12:42 PM|Aquashella Orlando Booth Sales|AquaWorld Supplies|1181.04
2024-01-01|02:53:49 AM|Aquarium Setup Consultation|Fluval|-139.0
2023-10-21|02:10:03 PM|Intro to Aquascaping Class|Tetra|1081.12
2023-08-02|06:58:58 AM|Water Conditioner - Prime|Tetra|-442.4
2024-03-04|01:02:14 AM|Filter Replacement Service|Aquashella Expo|-236.82
2024-07-22|08:52:22 PM|AquaFest Revenue|AquaLuxe Design|764.1
2024-11-15|12:48:31 AM|Intro to Aquascaping Class|AquaWorld Supplies|581.26
2025-01-22|07:30:38 AM|Aquarium Setup Consultation|Omega One|-204.86
2025-09-02|12:33:32 AM|Aquashella Orlando Booth Sales|FreshFin Aquatics|1048.76
2024-08-16|10:02:12 AM|Betta Fish (Halfmoon)|AquaWorld Supplies|-185.23
2025-02-02|12:21:30 AM|Fish Food - Pellets|Omega One|-98.0
2025-04-07|08:03:07 AM|AquaFest Revenue|AquaWorld Supplies|707.08
2024-03-10|11:45:18 PM|Tank Cleaning Service|Aquashella Expo|-297.66
2025-05-07|07:56:11 AM|Moneywort|AquaWorld Supplies|-460.94
2024-01-22|03:53:25 AM|Opaline Gourami|Fluval|-67.48
2023-12-23|10:22:38 PM|Tank Cleaning Service|AquaWorld Supplies|-475.87
2024-12-07|07:35:48 AM|Frozen Bloodworms|Aquashella Expo|-246.75
2024-01-04|08:04:47 AM|Pump Repair|Omega One|-122.61
2023-08-06|03:13:58 AM|Tank Cleaning Service|Fluval|-429.06
2023-06-29|09:32:11 PM|Pump Repair|FreshFin Aquatics|-339.57
2023-08-13|01:45:03 AM|Water Wisteria|Fluval|-79.58
2023-07-03|12:13:44 AM|Filter Media Change|Tetra|-355.27
2024-09-08|02:01:20 PM|AquaFest Revenue|PetSmart|84.93
2024-09-04|06:18:05 PM|Glass Polishing Service|PetSmart|-478.85
2024-02-27|09:09:24 AM|Betta Fish (Halfmoon)|FreshFin Aquatics|-412.23
2023-03-20|09:30:02 PM|Betta Tank Setup Lesson|Omega One|98.09
2025-04-04|02:19:14 PM|Aquashella Orlando Booth Sales|AquaLuxe Design|767.93
2025-03-04|10:32:08 PM|Ludwigia Repens|Seachem|-461.18
2024-09-01|11:38:23 PM|Frozen Bloodworms|Aquatic Plant Depot|-306.24
2023-01-12|06:27:37 PM|AquaFest Revenue|Aquashella Expo|1468.42
2023-10-18|07:56:56 PM|Bumblebee Goby (Pair)|Seachem|-154.61
2023-10-06|02:21:19 PM|Tank Cleaning Service|Aquashella Expo|-277.78
2024-12-23|05:30:11 PM|Filter Media Change|AquaWorld Supplies|-424.96
2023-01-25|06:52:46 AM|Water Wisteria|AquaWorld Supplies|-39.28
2025-08-15|09:12:40 PM|Pump Repair|Aquatic Plant Depot|-445.95
2024-01-08|04:21:58 PM|Betta Fish (Halfmoon)|AquaLuxe Design|-54.66
2023-10-13|06:25:41 PM|Mystery Snail (Golden)|Aquashella Expo|-390.16
2023-05-04|03:26:25 PM|Water Quality Testing|Aquashella Expo|-264.64
2023-09-26|01:52:35 PM|Filter Media Change|AquaLuxe Design|-484.83
2025-02-26|10:37:35 PM|Anubias Nana|Tetra|-496.67
2024-10-21|08:06:25 PM|Algae Wafers|PetSmart|-482.0
2023-08-11|09:05:40 PM|AquaFest Revenue|Seachem|1195.18
2024-09-04|04:12:08 AM|Betta Tank Setup Lesson|Seachem|328.63
2023-03-28|05:08:17 AM|Aquarium Expo Ticket Sales|Aquashella Expo|1092.1
2025-01-21|09:02:22 PM|Fish Food - Pellets|Tetra|-342.04
2024-06-30|02:08:19 PM|Water Conditioner - Prime|AquaWorld Supplies|-409.71
2025-04-18|03:45:09 AM|Planting Techniques Workshop|Omega One|365.53
2025-05-20|11:36:39 PM|Aquashella Chicago Vendor Payment|Seachem|454.22
2023-03-07|10:15:53 PM|Filter Media Change|PetSmart|-438.49
2023-09-07|04:04:44 AM|Water Quality Testing|Aquatic Plant Depot|-228.82
2024-01-27|10:51:10 AM|Anubias Nana|PetSmart|-64.63
2024-04-11|07:54:26 PM|AquaFest Revenue|Tetra|140.98
2024-02-06|02:31:09 AM|Algae Wafers|FreshFin Aquatics|-341.3
2024-03-11|03:30:42 AM|Hornwort|Seachem|-175.32
2025-04-02|07:28:10 PM|Bumblebee Goby (Pair)|AquaWorld Supplies|-358.48
2024-06-20|01:01:50 AM|Cryptocoryne Wendtii|Seachem|-115.82
2025-05-29|03:33:07 PM|Bumblebee Goby (Pair)|Fluval|-64.1
2024-03-09|03:49:27 AM|Aquashella Dallas Booth Sales|Seachem|1066.42
2023-11-04|01:32:04 PM|Cherry Barbs (Pair)|AquaWorld Supplies|-224.56
2024-12-09|12:40:08 PM|Intro to Aquascaping Class|Fluval|232.01
2023-11-02|08:07:12 PM|Aquashella Dallas Booth Sales|FreshFin Aquatics|504.78
2023-03-08|06:53:32 PM|Cryptocoryne Wendtii|Aquatic Plant Depot|-134.79
2024-08-03|05:23:56 PM|Planting Techniques Workshop|AquaLuxe Design|542.04
2025-07-31|04:14:39 PM|Hardscape Design Basics|Tetra|88.17
2025-08-31|08:08:53 AM|Hardscape Design Basics|AquaWorld Supplies|432.78
2023-12-09|04:19:17 PM|Aquarium Setup Consultation|Aquashella Expo|-354.65
2024-05-06|03:13:27 AM|Moneywort|Tetra|-160.18
2025-01-17|11:26:43 AM|Glass Polishing Service|Fluval|-380.08
2023-01-22|01:58:15 PM|Electric Blue Cichlid|Fluval|-377.16
2023-04-22|11:16:34 AM|Intro to Aquascaping Class|Aquatic Plant Depot|843.14
2023-01-26|10:11:02 AM|Celestial Pearl Danio|AquaWorld Supplies|-180.8
2025-08-01|05:35:48 PM|Ludwigia Repens|AquaLuxe Design|-101.99
2024-12-23|08:17:38 AM|AquaFest Revenue|PetSmart|176.12
2025-08-01|11:52:33 PM|Dwarf Hairgrass|Fluval|-134.66
2023-02-01|10:55:28 PM|Water Quality Testing|Aquashella Expo|-277.73
2023-10-11|04:05:48 AM|Filter Media Change|Tetra|-185.99
2023-10-13|08:23:26 PM|Java Fern|FreshFin Aquatics|-492.09
2023-04-25|01:59:27 AM|Aquashella Chicago Vendor Payment|Aquashella Expo|1436.12
2024-06-02|11:59:36 PM|Water Conditioner - Prime|Tetra|-71.85
2023-12-01|02:44:49 AM|Dwarf Hairgrass|AquaWorld Supplies|-186.46
2024-07-12|11:38:01 PM|Aquarium Salt|Omega One|-430.41
2024-02-17|03:33:46 AM|Aquarium Setup Consultation|Aquashella Expo|-319.48
2023-10-01|06:10:36 AM|Intro to Aquascaping Class|Fluval|722.15
2023-01-27|04:23:04 AM|Green Spotted Puffer Juvenile|FreshFin Aquatics|-46.39
2023-07-03|03:32:55 AM|Water Quality Testing|Tetra|-438.83
2025-10-09|12:21:04 PM|Ludwigia Repens|Omega One|-438.38
2025-08-02|06:12:49 PM|Aquashella Orlando Booth Sales|AquaLuxe Design|1085.08
2024-09-14|03:17:16 PM|Aquarium Expo Ticket Sales|AquaWorld Supplies|295.78
2024-12-30|10:44:08 AM|Aquashella Chicago Vendor Payment|FreshFin Aquatics|294.03
2024-06-02|01:05:46 PM|Intro to Aquascaping Class|Fluval|1054.13
2025-03-30|12:34:11 PM|Cryptocoryne Wendtii|Tetra|-43.09
2024-02-25|04:29:19 AM|Green Spotted Puffer Juvenile|AquaLuxe Design|-413.02
2025-01-07|02:21:58 PM|Cherry Barbs (Pair)|AquaWorld Supplies|-432.78
2023-07-01|11:50:17 PM|Mystery Snail (Golden)|PetSmart|-405.7
2024-10-27|12:42:45 AM|Live Demo: Building a Nano Tank|AquaWorld Supplies|564.32
2023-04-17|04:07:06 AM|Water Wisteria|Aquashella Expo|-283.89
2025-07-24|02:03:37 PM|Fish Food - Pellets|Aquashella Expo|-300.43
2025-02-05|04:21:56 PM|AquaFest Revenue|PetSmart|795.01
2023-10-04|02:08:58 AM|Kuhli Loach (3 Pack)|Fluval|-336.19
2025-07-28|11:10:52 PM|Hardscape Design Basics|Aquatic Plant Depot|687.37
2025-07-12|09:22:29 AM|Aquashella Dallas Booth Sales|Omega One|476.73
2025-08-21|04:25:13 PM|Betta Tank Setup Lesson|Tetra|174.14
2023-02-06|11:17:01 AM|Betta Fish (Halfmoon)|AquaLuxe Design|-8.07
2025-08-09|12:27:55 AM|Amazon Sword|Fluval|-227.5
2023-02-20|10:41:34 AM|AquaFest Revenue|Seachem|505.26
2025-09-04|08:31:54 AM|Angel Fish|AquaWorld Supplies|-65.18
2023-10-20|03:40:53 PM|Water Wisteria|Fluval|-85.45
2024-10-15|02:26:13 AM|Aquashella Chicago Vendor Payment|Seachem|887.43
2023-06-07|06:22:48 PM|Betta Fish (Halfmoon)|Tetra|-116.87
2025-09-28|09:14:07 AM|Java Fern|AquaWorld Supplies|-18.4
2023-03-24|12:42:12 PM|Fish Food - Pellets|Seachem|-255.42
2023-06-14|08:19:57 AM|Aquarium Expo Ticket Sales|AquaLuxe Design|771.04
2024-03-08|09:51:20 AM|Water Quality Testing|PetSmart|-374.37
2024-04-03|06:22:41 PM|Aquashella Chicago Vendor Payment|Omega One|1345.85
2023-11-22|05:42:49 PM|Aquarium Setup Consultation|PetSmart|-432.15
2024-01-08|05:55:24 AM|Glass Polishing Service|Omega One|-33.21
2024-06-17|01:53:04 PM|Aquashella Dallas Booth Sales|Omega One|262.76
2024-03-31|10:10:55 AM|Glass Polishing Service|Aquatic Plant Depot|-479.8
2024-08-17|07:33:48 AM|Intro to Aquascaping Class|Aquashella Expo|817.7
2023-11-09|03:11:13 AM|Aquashella Orlando Booth Sales|FreshFin Aquatics|563.7
2025-02-04|01:14:44 PM|Tank Cleaning Service|FreshFin Aquatics|-159.66
2024-05-10|07:29:46 AM|Aquashella Orlando Booth Sales|Seachem|704.59
2023-12-01|10:25:18 AM|Hardscape Design Basics|AquaLuxe Design|1322.26
2024-06-24|09:24:11 PM|Amazon Sword|Omega One|-79.3
2024-06-16|05:29:05 AM|Fish Food - Pellets|Omega One|-39.26
2023-06-10|04:28:56 PM|Planting Techniques Workshop|PetSmart|463.71
2024-02-14|12:02:15 AM|Angel Fish|Aquatic Plant Depot|-450.4
2024-01-07|04:52:32 AM|Filter Replacement Service|FreshFin Aquatics|-229.91
2024-09-28|07:30:33 PM|Betta Tank Setup Lesson|Tetra|374.12
2024-04-17|04:56:42 AM|Moneywort|Aquatic Plant Depot|-226.42
2024-01-28|09:45:00 AM|AquaFest Revenue|Aquashella Expo|848.7
2024-06-09|07:53:29 AM|Opaline Gourami|AquaLuxe Design|-312.2
2024-02-10|12:06:48 PM|Water Quality Testing|FreshFin Aquatics|-362.59
2024-02-20|05:35:47 PM|Intro to Aquascaping Class|Aquashella Expo|120.56
2023-02-26|09:06:26 AM|Aquashella Dallas Booth Sales|Seachem|563.95
2023-06-12|03:24:54 PM|Cryptocoryne Wendtii|AquaWorld Supplies|-284.27
2023-06-09|03:43:38 AM|Planting Techniques Workshop|FreshFin Aquatics|1493.66
2023-09-25|12:38:08 PM|Electric Blue Cichlid|Tetra|-348.95
2023-03-05|11:01:43 AM|Betta Revive|AquaLuxe Design|-26.14
2023-01-08|11:43:31 AM|Planting Techniques Workshop|Fluval|586.35
2024-10-02|11:54:59 AM|Ludwigia Repens|Aquashella Expo|-210.81
2025-04-17|05:48:22 PM|Pea Puffer Trio|AquaLuxe Design|-44.77
2025-07-09|12:23:47 AM|Intro to Aquascaping Class|PetSmart|837.91
2024-05-16|12:43:55 PM|Aquarium Setup Consultation|AquaLuxe Design|-10.58
2025-04-06|02:20:45 AM|Celestial Pearl Danio|FreshFin Aquatics|-284.73
2025-03-14|05:28:04 PM|Algae Wafers|Aquatic Plant Depot|-243.67
2025-04-11|11:27:14 PM|Water Conditioner - Prime|Aquashella Expo|-23.89
2023-11-07|03:44:22 PM|Aquashella Orlando Booth Sales|Tetra|379.85
2024-06-03|05:05:51 PM|Hardscape Design Basics|FreshFin Aquatics|941.15
2024-11-24|09:50:23 PM|Pygmy Corydoras Catfish (6 Pack)|Aquatic Plant Depot|-481.65
2024-01-20|09:57:13 AM|Mystery Snail (Golden)|Aquashella Expo|-299.02
2025-06-28|02:04:24 AM|Aquarium Expo Ticket Sales|Fluval|350.08
2025-03-02|01:48:54 PM|Filter Replacement Service|Omega One|-272.78
2024-06-11|11:31:23 AM|Aquashella Orlando Booth Sales|AquaLuxe Design|112.63
2025-01-22|01:32:49 AM|Kuhli Loach (3 Pack)|Omega One|-390.46
2023-02-05|07:44:32 PM|Green Spotted Puffer Juvenile|PetSmart|-200.05
2025-07-29|02:26:47 PM|Hardscape Design Basics|Tetra|309.71
2023-10-04|10:53:34 AM|Kuhli Loach (3 Pack)|PetSmart|-432.81
2023-01-11|10:26:06 AM|Pea Puffer Trio|PetSmart|-489.0
2024-10-03|02:14:38 PM|Anubias Nana|Aquashella Expo|-235.85
2024-03-10|10:14:43 PM|Dwarf Hairgrass|Tetra|-108.23
2023-05-02|10:13:13 AM|Anubias Nana|Aquashella Expo|-376.36
2025-05-28|04:33:22 PM|Water Wisteria|Omega One|-168.07
2024-12-19|10:00:43 AM|Ich-X Treatment|PetSmart|-245.48
2025-04-04|07:31:24 PM|Aquarium Expo Ticket Sales|Omega One|1097.69
2024-05-11|07:02:08 PM|AquaFest Revenue|AquaLuxe Design|1140.3
2023-02-24|05:48:25 PM|Opaline Gourami|AquaLuxe Design|-250.71
2024-06-08|11:59:35 AM|Filter Replacement Service|Aquatic Plant Depot|-275.67
2023-10-24|07:25:12 AM|Cherry Barbs (Pair)|AquaWorld Supplies|-102.36
2024-01-21|11:23:20 AM|Cryptocoryne Wendtii|Seachem|-186.12
2025-08-07|02:40:06 PM|Aquashella Chicago Vendor Payment|PetSmart|742.4
2024-04-08|09:39:30 AM|Live Demo: Building a Nano Tank|PetSmart|65.09
2023-01-24|03:12:50 PM|Filter Media Change|PetSmart|-249.09
2025-06-07|12:03:09 PM|AquaFest Revenue|Aquatic Plant Depot|909.45
2024-05-01|08:05:03 PM|Algae Wafers|FreshFin Aquatics|-387.79
2025-07-15|09:28:16 PM|Aquarium Expo Ticket Sales|PetSmart|1177.91
2025-07-08|02:11:42 AM|Pump Repair|PetSmart|-229.85
2024-12-30|06:00:54 PM|Betta Revive|AquaWorld Supplies|-468.97
2023-01-10|05:00:24 AM|Aquashella Orlando Booth Sales|AquaWorld Supplies|242.02
2024-03-19|02:27:38 PM|Filter Replacement Service|Aquatic Plant Depot|-147.49
2024-05-10|10:00:50 PM|Hardscape Design Basics|Omega One|407.82
2024-06-16|03:31:16 AM|Betta Tank Setup Lesson|AquaWorld Supplies|176.02
2025-09-16|10:58:27 PM|Aquarium Setup Consultation|Fluval|-202.95
2025-08-16|12:38:40 PM|Fish Food - Pellets|Aquashella Expo|-130.45
2025-07-22|05:02:21 PM|Aquarium Expo Ticket Sales|Omega One|447.01
2025-10-16|00:06:03|pea puffer|Zoozae|11.11
2025-10-16|00:06:33|brine shrimp eggs|Zoozae|-33.33
2025-10-16|09:57:37|Blood Worms Re-Stock|Zoozae|444.44
2025-10-16|10:33:53|Female Betta Fish Re-Stock|Zoozae|88.88
2025-10-16|10:35:37|40 Gallon Tank Re-Stock|Zoozae|88.88
